,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
86,2021-03-28,DKI5 (Kebon Jeruk) Jakarta Barat,50,78,22,12,34,19,78,PM25
87,2021-03-29,DKI5 (Kebon Jeruk) Jakarta Barat,54,91,21,17,29,26,91,PM25
88,2021-03-30,DKI5 (Kebon Jeruk) Jakarta Barat,44,72,35,8,18,18,72,PM25
89,2021-03-31,DKI5 (Kebon Jeruk) Jakarta Barat,40,62,25,7,16,15,62,PM25
90,2021-04-01,DKI5 (Kebon Jeruk) Jakarta Barat,15,34,24,3,16,4,34,PM25
91,2021-04-02,DKI5 (Kebon Jeruk) Jakarta Barat,35,58,38,7,19,16,58,PM25
92,2021-04-03,DKI5 (Kebon Jeruk) Jakarta Barat,21,47,20,6,22,12,47,PM25
93,2021-04-04,DKI5 (Kebon Jeruk) Jakarta Barat,62,102,20,30,19,37,102,PM25
94,2021-04-05,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,24,12,22,28,76,PM25
95,2021-04-06,DKI5 (Kebon Jeruk) Jakarta Barat,30,54,31,4,18,6,54,PM25
96,2021-04-07,DKI5 (Kebon Jeruk) Jakarta Barat,25,42,30,4,17,6,42,PM25
97,2021-04-08,DKI5 (Kebon Jeruk) Jakarta Barat,32,55,51,5,14,12,55,PM25
98,2021-04-09,DKI5 (Kebon Jeruk) Jakarta Barat,52,77,34,7,18,21,77,PM25
99,2021-04-10,DKI5 (Kebon Jeruk) Jakarta Barat,45,77,31,9,24,18,77,PM25
100,2021-04-11,DKI5 (Kebon Jeruk) Jakarta Barat,46,75,50,9,31,18,75,PM25
101,2021-04-12,DKI5 (Kebon Jeruk) Jakarta Barat,58,90,30,19,21,31,90,PM25
102,2021-04-13,DKI5 (Kebon Jeruk) Jakarta Barat,50,78,30,15,30,27,78,PM25
103,2021-04-14,DKI5 (Kebon Jeruk) Jakarta Barat,48,79,31,12,27,23,79,PM25
104,2021-04-15,DKI5 (Kebon Jeruk) Jakarta Barat,54,88,23,24,30,42,88,PM25
105,2021-04-16,DKI5 (Kebon Jeruk) Jakarta Barat,55,88,29,18,23,44,88,PM25
106,2021-04-17,DKI5 (Kebon Jeruk) Jakarta Barat,67,118,29,16,28,31,118,PM25
